단어,개수
인수전에서,2
뺐다,1
박스터인터내셔널의,4
검토했으나,3
인수전에,12
있다박스터인터내셔널은,1
신장질환,1
제조하는,2
업체다,3
사업부는,10
바이오의약품백신,1
조직이다,1
포장,1
원액의약품을,1
약병바이알에,1
완제의약품으로,2
전문으로,3
영위,2
박스터인터내셔널에,1
치료체,1
를,5
맡기며,2
긴밀한,2
이어왔다,2
구축과,2
인수에,6
알려졌다그러나,1
박스터인터내셔널이,2
제시한,2
적정하지,1
추정가는,1
억달러,1
성사되면,3
인수합병이,2
예정이었다실제,1
정기,44
현금성,1
자산,4
개인적으로,5
스와핑,7
조조원,1
재원으로,2
생각이라면서도,1
박스터인터내셔널,1
측에서,1
타진을,1
쳐다본,1
것일,3
비싸면,1
그었다셀트리온은,1
인수는,2
무산됐지만,1
검토하겠다는,1
입장이다,5
대상과,1
하나의,1
기업보다는,2
우선순위에,2
검토하겠다고,1
메신저리보핵산,1
복합체,1
후보군으로,1
거론된다지난해,1
현금성자산은,1
억원이다,1
만주로,1
억원에,1
현금성자산과,1
억원,2
만주억원,1
의,1
가치는,3
조원어치다,1
사셀트리온셀트리온헬스케어셀트리온제약,14
들어갈,9
실탄이,1
충분하지,1
않다는,3
시각도,2
나온다한편,2
세금,1
매각으로,1
조달한,2
억달러를,1
부채,2
상환에,2
힐롬홀딩스를,1
조원에,1
인수하면서,2
악화해,1
구조조정을,1
진행한다고,6
철회,2
밝혀,4
박스터의,15
인수와,4
로이터는,3
참가했다고,1
보도한,4
위탁생산한다,1
램시마의,2
위탁생산을,6
이곳에,2
적,7
철회했지만,1
동력을,6
물색할,1
의지는,5
총수인,1
언급한,8
주주총회와,17
투자해,9
그룹주,2
강세오늘,1
텐배거,1
원픽은,1
전지,2
관련주의,1
하락으로,5
대형주들이,1
주춤하는,1
비롯하여,1
설탕,1
곡물,1
로봇,1
관련주와,1
바이오주가,1
보였다한국경제,1
와우넷,2
이상로,2
파트너는,3
현재는,1
꺾여있는,1
낙관론처럼,1
보이지만,2
우상향이고,1
억,1
기록했고,1
나타냈다라며,1
월의,1
컨퍼런스,1
있다라고,2
설명했다또한,1
시장은,1
크다,1
정확하게,1
종목군인,1
한미약품같이,1
매수세가,3
설명했다한편,1
명의,1
탁월한,1
종목선정과,1
매매실력으로,1
유료,1
회원,1
수익에,1
기여하여,1
한국경제,2
주차,1
베스트,1
선정되었다이상로,1
시,5
한국경제,1
,1
스탁,1
이상로의,1
텐텐배거,1
프로그램에,4
출연하여,1
증권,1
투자자에게,1
유익한,1
제공한다,2
방송은,1
케이블와,1
실시간으로,1
진행되며,2
누구나,1
무료로,1
시청할,1
일전,1
포인트,1
으로,1
마쳤다지수는,1
전일대비,3
,1
하락해,2
선이,1
무너져지기도,1
했다업종별,1
의료정밀,1
섬유의복,1
비금속광물,1
종이목재,1
화학,1
내렸고,1
의약품,1
통신,1
운수장비,1
전기가스,1
상승했다투자자별로는,1
억,1
억,1
억,1
매도했다기관은,1
셀트리온억원을,1
가장많이,1
삼성전자억원,1
씨에스윈드억원,1
현대차억원,1
억원,1
현대모비스억원,1
한국전력억원,1
이노베이션억원,1
엔씨소프트억원,1
억원,1
제일제당억원,1
샀다,3
하이닉스억원와,1
한화에어로스페이스억원,1
화학억원,1
삼성억원,1
호텔신라억원,1
카카오억원,1
아모레퍼시픽억원,1
포스코퓨처엠억원,1
한화솔루션억원,1
에너지솔루션억원,1
억원를,1
현대차억원,1
포스코퓨처엠억원,1
셀트리온억원,1
코스모신소재억원,1
삼성전자우억원,1
홀딩스억원,1
현대중공업억원,1
삼성중공업억원,1
현대인프라코어억원,1
하이브억원,1
했으며,1
한국항공우주억원와,1
하이닉스억원,1
삼성전자억원,1
삼성억원,1
두산에너빌리티억원,1
엔씨소프트억원,1
메리츠금융지주억원,1
신한지주억원,1
생활건강억원,1
제일제당억원,1
크래프톤억원,1
사업부,1
위탁생산과,3
담당,1
검토한,10
셀트리온이,3
제조사,7
인수하지,1
했다일,1
공시했다앞서,2
로이터통신은,4
추진하며,3
생명과학기업,2
써모피셔사이언티픽,2
벌이고,3
보도했다바이오파마솔루션,2
램시마의,4
박스터에,3
맡기기도,2
했다인수,2
억,6
추정되며,2
제조기업,4
써모피셔와,3
사모펀드,4
칼라일,4
알려졌다발로,1
제공바이오의약품,1
우려를,3
낳았으나,1
,4
억원으로,5
집계됐다고,5
실적에,2
수치다이번,1
램시마자가면역질환,2
치료제와,1
트룩시마혈액암,2
확대되면서,1
영업이익도,1
개선됐다,3
작업이,3
마무리될,7
후보군의,2
항체약물접합체와,1
이중항체항체,1
등에도,1
계획이다분기,1
호실적과,1
휴미라램시마,1
승인판매와,1
더해지며,2
증권가의,6
긍정적이다허혜민,1
월,1
식약처,1
승인,10
월에는,3
승인이,15
개가량의,1
내다봤다이동건,1
연구원,5
것이며,1
분기,4
호조가,2
것으로,5
분석했다하현수,1
유안타증권,6
진단키트,37
컨센서스를,9
밑도는,2
시현했으나,1
재고가,2
소진됨에,1
이익에,5
투약으로,2
유리해,2
년으로,2
전망했다앞서,1
인지,15
청구,49
제기하고,1
편입되며,1
일었다,2
분쟁과,4
커지자,1
주주,5
사죄드린다며,3
개인의,3
겨누어주셨으면,1
한다는,1
내용의,5
게재했다한편,1
분,1
,1
만원에,1
거래되고,15
요약분기,1
호실적,5
유튜브를,4
기자간담회를,16
사진유튜브,4
캡처,2
금지서울뉴시스,3
강수윤,1
소식에,14
대,1
있다일,2
시분,1
만원,1
만원에,1
원,1
만원에,1
원,1
만원을,1
중이다이는,1
증가했다셀트리온은,3
말했다박스터인터내셔널의,1
억달러약,3
조억원,1
사과했다,14
말했다증권가는,1
오너리스크,1
발생에도,1
사라고,2
권유했다,2
분기,2
가능하나,2
시장점유율은,2
,2
,2
,2
,2
전망,2
즉,4
램시마,2
배인,2
대체는,2
매출,2
이익의,2
핵심이며,2
산업에서,2
방어가,2
가능하다며,2
월,2
중요하다고,4
며,1
높였다,1
서울뉴스,5
안정적인,4
사업부문,7
있으나,3
헬스케어기업인,1
써모피셔사이언티픽과,1
보도했다,9
발표에도,1
사과문에,1
올라셀트리온,1
사과문,3
올려서,1
회장질책,1
감수,1
소임은,1
끝까지,12
수행최근,1
가족사,1
일었던,1
사과문을,3
올렸다서정진,1
큰,1
사죄,2
드립니다라고,1
올라온,3
사과문그는,1
드렸습니다,1
감수하겠습니다라고,1
전했다이어,1
다만,1
겨누어,6
합니다라며,1
어려운,5
환경에서도,6
묵묵히,6
헌신해온,5
임직원들에게,7
질책의,9
시선이,9
돌아가지,9
않도록,30
부디,8
너그러운,10
마음으로,10
바라봐,10
주실,7
간곡히,8
부탁드립니다라고,1
호소했다,1
캡처서,1
저는,6
주주님들께서,2
제게,8
부여해,8
주신,8
소임을,10
수행해,10
훼손되지,11
다하고,6
인생은,6
늘,11
자세로,11
성찰하며,10
살겠습니다라며,1
그대로,4
유지한다는,1
전했다서정진,1
사과는,1
실적공시와,1
진행돼,1
눈길을,3
끌었다일,1
연결실적을,1
공시했는데,1
나타났다하지만,1
떨어졌는데,1
원,1
만천원으로,1
마감했다그러나,1
사과문이,1
통했는지,1
개장과,1
상승해,1
시분,1
만원,1
만천원을,1
기록했다한편,1
월일,2
선임되며,1
복귀해,7
진두지휘하고,3
박스터인터내셔널의,5
공시했습니다,1
로이터,1
언론은,1
바이오파마솔루션,2
경쟁하고,3
바이오의약품,5
상용화하는,2
부서로,1
돈,6
천억원인,1
억달러로,2
알려졌습니다셀트리온,1
강화나,1
고려하지,1
특징주셀트리온이,1
호실적에,2
기대감까지,3
강세다일,1
시분,1
만원,1
만원에,1
있다전날,2
기록했다고,14
박재경,4
하나증권,8
진단키트,9
부재에도,2
탑라인의,2
견인했다며,2
제품램시마,4
트룩시마,4
매출액에,4
신제품램시마,4
,3
조억원,3
,5
억원으로,2
예상했다그는,2
북미,4
신제품들의,3
예상하나,2
분기점은,3
분기일,2
자리잡는,2
확인한다면,2
반영될,5
설명했다허혜민,1
가량의,3
파이프라인스텔라라,1
아일리아,7
졸레어,4
프롤리아,4
악템라,1
고마진의,1
신제품이,4
안착하게,2
예상된다고,1
이미지제공셀트리온셀트리온은,1
억원으로,1
기록했다회사,1
돌파했다수익성이,1
바이오시밀러로,1
피하주사형으로,1
사례다램시마,1
늘려나가고,1
에,1
레미케이드보다도,1
구체적으로,9
독일에서,2
인플렉트라는,1
의,2
기록을,2
조억원의,1
처방액을,1
기점으로는,1
조원을,1
조억원이다,1
조원,1
조원을,12
넘긴,1
처음이다세계,1
미국에서의,4
월께,2
개발됐지만,1
높게,2
권고했다,1
허가신청이,1
접수돼,2
있다전문가들은,1
하현수,4
가격,1
인하,3
시장과는,1
제형이라며,1
자가,1
기여가,1
전망된다고,2
제공서정진,6
속에서도,1
시분,1
원,1
만원에,1
이끌었다고,2
밝혔다자가면역질환,1
돌파했다전날,1
말했다앞서,1
제기해,3
성립되면서,10
법적인,6
딸로,8
뒤늦게,21
알려졌다서,2
생활비를,5
입금하라는,3
내용,5
문자,6
보냈다며,3
솔루션,1
빠진다,1
검토했던,1
달여만에,1
조회공시,2
요구풍문,1
보도에,1
답변,2
당사는,2
외신을,2
매체들은,1
참여한다고,1
추정,1
조억원로,1
성사될,2
인수합병이,1
전망이었다특히,1
박스터와,1
위탁생산,5
인연이,1
거점,1
지역인,1
생산지를,1
관심사로,1
조조원,1
재원을,10
목소리도,4
나왔다그러나,1
결정했고,1
수정할,1
거론되고,1
있다한편,3
인수설이,1
써모피셔사이언티픽,1
,2
그룹도,2
전해졌다,10
캡처서울연합뉴스,1
부서다,1
램시마셀트리온,1
배영경,1
마진율이,2
늘어나면서,2
강화됐다고,1
밖의,1
손실이,2
발생하기는,1
일회성으로,1
그칠,3
내년의,1
천억원에서,1
천억원으로,1
내년은,2
조억원에서,1
조억원으로,1
목표주가도,1
기존보다,1
,1
제시하고,2
손실은,2
일회성에,1
분기,4
매각한,2
재고자산,9
가격보다,1
판매됐고,1
영업손실로,2
처리됐다면서,1
그러나,1
재고는,1
소진됐다고,1
위해주,2
한국투자증권,6
영업손실이,1
발생했지만,1
본업의,1
성장세로,2
상쇄됐다면서,1
소진된,1
관심은,2
유플라이마에,1
일에,1
대망의,1
판가름,1
난다면서,1
승인,1
처방약급여관리업체에,1
등재될지가,1
주목되는데,1
예정됐다며,1
향후,5
줄줄이,3
제시했던,1
요소라며,1
소액주주들의,3
중요하므로,1
,1
양지윤,1
시분,1
,1
만원에,1
당기순이익은,3
물색억달러,1
선언,2
박스터인터내셔널의,1
검토해왔다,1
억,2
원,1
박스터는,3
알려져,3
위탁생산한,2
있다서정진,1
억,1
현금성,9
자산과,2
스왑,1
공개한바,1
현금,1
보유량이,1
기회가,10
연말께,2
추진하겠다고,4
분기,9
나은,1
전망하는,1
손실로,1
억원이,1
반영됐음에도,1
고마진의,3
기록했다라며,1
,2
수치이다,1
전망치컨센서스였던,1
억원,1
억원에,1
부합한다,1
재고,5
판매가격,2
억원,2
반영됐지만,1
개선됐다라며,1
특히,2
매출액의,2
인,1
억원으로,1
증가했는데,1
점진적인,2
안전,1
추측된다라고,1
허,1
처방의약품신청자비용부담법으로,1
나는지,1
판가름이,1
보인다라며,1
기대된다라고,1
이,4
연내에,3
예정돼,1
신제품으로,1
기대된다라며,1
보여,1
전망된다라고,1
검토한,1
결정했다고,1
한국거래소의,1
거래소는,1
조회공시를,1
요구했었다,1
박은비,1
마진율이,1
투자의견은,2
유지,1
목표주가는,4
높였다박병국,1
,1
컨센서스에,3
달성했다고,1
밝혔다박,2
분기에는,1
진단키트에,1
변동대가가,1
발생했다며,2
셀트리온에,1
처리됐으며,1
소진이,3
완료됐다고,1
말했다그러면서,2
키트,1
변동대가,2
제외시,1
매출총이익률은,1
로,1
키트,1
상반기로,1
회귀했는데,1
이익률이,2
덕분이라며,1
언급했다그는,1
이슈는,4
완료했다며,1
유연한,1
실사를,2
공장에서도,1
그외,1
데일리안,1
속보,1
박스인터내셔널,1
포기,1
하나증권은,9
판매와,1
매수와,4
만원을,3
유지했다박재경,2
,2
전망치에,2
부합했다며,1
견인했다고,1
설명했다박,1
억원을,1
견조한,1
분석했다피하주사형,1
본궤도에,1
올라서며,1
분기에는,1
북미에서,2
램시마이,1
승인될,4
일회성,12
재료로,1
추세적,7
반등이,4
만원이다,1
,1
시현해,1
부합했다며,1
별도,1
억원,1
,1
억원을,1
기록했다고,1
셀트리온,1
재고분의,1
충당금,5
설정,1
하락에,15
따락에,1
감안,1
,1
상회했다는,1
를,1
영향이,6
컸다고,1
짚었다연결,1
조억원,1
억원을,1
호조,1
지속을,1
본격화가,2
예상된다고,1
의,1
예상했다이를,1
월을,3
선결,1
조건으로는,1
트리거방아쇠가,1
자리잡으면,1
인허가,1
품목오크레부스,1
등의,1
개시가,4
베그젤마는,2
상반기,3
년부터,3
예상하나,1
분기로,1
전망한다고,3
,1
로,1
,1
고개,1
숙여,6
사죄,1
개인의,4
임직원들에게,2
부탁드린다고,4
주주님들께서,4
인생을,3
살겠다고,2
부끄러운,5
모습으로,5
드린,4
정중히,5
고개,5
사죄드린다고,4
거듭,9
지속적,1
투자로,6
확보신제품,1
,1
미래,1
먹거리도이데일리,1
셀트리온,6
논란으로,5
발생했지만,1
동력이,2
평가에서다김태희,1
애널리스트는,7
셀트리온에,1
바이와,1
유지한다며,1
확보했다는,1
매력적이라고,1
동기보다,4
억원으로,2
억원으로,3
주주님들께서,3
살겠다고,3
사진셀트리온관련해,1
매출액은,1
부합하지만,1
하회하는,3
수준이라며,2
반영해,2
,1
,1
하향하지만,1
변동폭은,1
미미하다고,1
포인트를,1
신제품,1
것월에,1
램시마이며,1
하반기에,1
인수합병,1
후보물질플랫폼,1
올해,1
품목의,2
돌파했다며,1
유럽에서의,1
품목에,3
등극했다는,1
긍정적이라고,1
지난,5
졸레어를,1
품목으로,1
신약들의,1
모달리티약물의,1
약효,1
발휘도,1
밸류에이션을,1
정당화하는,1
요인이라고,1
게재친생자,1
추가에,1
나오자주주들,1
달래려는,1
관측,1
개인사,2
띄웠다,1
캡처서정진,2
논란에,1
사과했다그는,1
화면,1
팝업창과,1
공지사항,1
게시판에,1
말씀이라는,1
제목의,8
띄우고,1
드렸다며,2
감수하겠다며,1
잘못을,1
인정했다그러면서,1
다만,6
헌신해,1
당부했다,2
다하고,3
살겠다면서,2
다시,3
용서를,1
구했다앞서,1
명은,2
냈고,1
친모에게,3
여억,1
양육비를,13
지급했는데도,4
거액의,2
요구한다며,1
그를,2
명의,3
친생자가,1
생기면서,1
발표는,6
달래기,2
심려,1
드린다부디,1
달라,1
청와대사진기자,1
사죄드린다며,1
밝혔다서,18
최근,9
드렸다며,2
어떤,1
감수하겠다고,3
말했다서,7
겨눠달라며,1
어려운,2
여러분이,1
부탁드린다고,4
당부했다이어,1
주주들이,2
살겠다며,1
제,1
사죄드린다고,3
했다앞서,1
제기했다,7
같은해,3
알려졌다이,2
고소장을,2
사실도,1
전해졌다씨는,1
노릇을,13
주장하고,9
거액을,17
요구하며,2
협박했다고,1
맞서고,1
있다업계에서는,2
혼외자들,1
이종현서정진,1
자녀로,11
인정받았다,2
오너,2
리스크가,2
발생했다는,1
평가다일,1
존재는,1
대로,1
법원에,7
판결했다그,1
내연녀이던,1
태어났다두,1
뿐이라며,1
아니라며,1
조씨를,2
입장이다재계에서는,1
때문이다서,1
정상속분,1
의,1
서진석,26
셀트리온셀트리온제약,9
의장과,8
서준석,31
의장,9
아들과,1
씩을,1
소송에,3
억원을,4
견인했다고,1
증가했으며,4
돌파했다영업이익은,1
개선됐다고,1
점유율도,7
유지되며,4
기여했다셀트리온은,2
지속하면서,6
바이오의약품이,1
견인바이오의약품,1
동기비,1
증가,1
천억,1
천억,1
천억,1
연합인포맥스가,1
천억원을,1
,3
상회했다,1
천억,1
신청했고,1
고려하며,1
억원,1
기록해영업이익률,1
,1
호조에,2
내,1
신약기업,1
이끌면서,1
견인한,1
개선됐고,2
기여했다,2
선진시장에서,1
선전,2
분기,3
오리지널의약품을,2
선도하고,1
판매명,1
프랑스에선,1
유럽시장에서의,2
달하며,1
글로벌시장에,2
본격화하고,3
도약도,1
노력에도,5
다해,6
이어나가겠다고,4
영업익,6
억전년,1
램시마,1
확대신약,1
마련,1
본업인,5
출발을,2
마련에,5
방침이다셀트리온은,2
올랐다이번,1
에,1
외형,5
원인은,2
확대다,1
타,1
단가가,1
차지한다램시마,1
증가했으며,2
억원대를,1
외형과,2
커졌다고,2
높여가고,1
있다신규,1
본격화하고,2
에,1
오크레부스,1
수단,1
억원에,1
육박했다,1
기록이다,1
넘었다셀트리온은,1
경영실적,3
증가했다올해,2
넘어섰다,5
있다셀트리온의,2
착수했다,3
제,2
한다혼외자,1
휩싸인,2
글을,4
올려,1
사과했습니다서,1
드렸다고,1
말했습니다그러면서,1
덧붙였습니다셀트리온의,1
창업주인,13
물러났지만,1
극복을,3
만인,3
복귀했습니다하지만,1
법정,7
끝에,2
명을,2
알려지면서,4
휩싸였습니다서,1
수원가정법원에,3
경재계에선,1
주목하며,1
지배구조에도,1
상황입니다다만,1
부여한,2
다하겠다며,3
중심이,1
이끌어가겠다는,1
뜻을,3
지난,1
기자간담회에서,10
발언하고,12
임직원들에게,1
종합전년,1
증가바이오시밀러,1
억,4
돌파셀트리온이,1
실적과,5
내실,2
마리,1
토끼를,1
선전한,1
고마진,1
램시마피하주사의,1
호조세까지,1
영업이익률이,4
억원이라고,1
포인트,1
,1
셀트리온,1
바이오의약품,3
특히,1
램시마정맥주사,1
진출에도,2
획득이,2
제품군도,1
랩시마램시마점유율,1
,1
미국시장에서도,1
로,1
년까지,1
확보셀트리온은,1
착수했으며,2
경주한다,1
치료제,5
키우기,4
검토하는,1
증가,4
이어나가겠다고,2
밝혔다전년,1
기간보다,2
램시마와,3
트룩시마의,3
유지됐다셀트리온은,2
임상허가를,1
이중항체항체신약,1
개발투자를,1
약진으로,2
매출영업이익,1
억,3
억,3
셀트리온의,1
성장했다셀트리온은,2
개선됐으며,1
말했다발로,8
요약매출,1
억원바이오시밀러,1
영업이익연결,1
증가했고,1
램시마램시마,1
트룩시마,1
허쥬마,1
달성했다피하주사제형,1
미국에선,1
,1
,3
는,1
작업도,6
말했다,5
억,1
억바이오의약품,1
돌파년까지,1
확보차세대의약품,1
개발하며,1
도전인수합병,1
추진,1
힘,7
입어,1
기록했다일,1
금융감독원에,3
성장하며,1
넘어섰다바이오시밀러,1
고른,1
견인했다는,1
유지되고,1
중이다회사,1
도약할,3
고려하고,6
증가했다며,1
바이오시밀러의,2
신장했다,1
당기순이익은억만원으로,1
주주들에,4
사과큰,1
심려끼쳐,1
사죄,1
회장이,1
문제와,1
사과했다서,2
여러분들의,2
했다서,3
변화는,1
뜻이다앞서,1
구설수에,1
부인과의,2
아들을,4
뒀다년,1
제기했고,1
공정거래법,6
시행령,2
개정에,4
운영하는,3
곳이,2
거래도,1
관계도,1
문자메시지를,1
상태다이날,1
총수일가의,1
움직임이라는,1
해석에,1
무게가,1
실린다,1
경제매체,2
포브스에,1
재산은,7
억,2
조억원로,1
위,2
,1
중이다한편,1
헤럴드경제증권부,2
전년동기대비,3
공시했다같은,1
나타났다당기순이익은,1
동기대비,3
억만원,1
재무제표,13
억만원을,1
억만원을,1
억만원을,1
거뒀다,1
심경,1
잘못,1
수용회사,1
최선서정진,1
잘못으로,1
피해가,1
하겠다며,2
사과를,3
했다일,1
공문을,1
사진셀트리온서,1
성립됐다이어,1
생모가,1
추가됐고,2
지정되면서,1
알려졌다이에,1
주었으면,1
여러분들이,1
달라고,2
부탁했다이어,1
남은,5
낮은,1
논란을,3
빚은,2
밝혔다그는,1
한다면서,1
번,1
더팩트,2
취재,3
빌라에,1
기자서,1
지정됐다지난,1
의료화장품건강식품,1
제조와,1
판매업,1
사업목적으로,1
부동산,4
임대업,1
건축업,1
정리했다더팩트,1
두지,1
역삼동에,4
확인됐다셀트리온,1
공정거래법에,3
지정됐지만,3
딸,7
명,1
호적,1
등재향후,1
영향,3
가능성구원투수로,1
등장했지만,1
혼외자,1
사건사고로,2
오너리스크가,1
수면,1
위로,2
선언하면서,2
활기차게,1
출발했지만,1
뒤숭숭한,1
분위기다,3
강력한,1
리더십으로,1
원성을,2
잠재우나,1
싶었지만,1
되려,1
잡음이,1
들끓고,1
오너리스크로,1
바람,3
제약바이오뿐만,1
재계,1
법조계에까지,1
화제가,2
되고,7
올랐다는,1
알려지면서다,2
등재됐다,7
년부터,1
내연녀와,1
알려졌고,1
대와,1
대,1
번을,1
만나달라는,1
면접교섭권을,2
청구해,1
다툼이,5
양육비,3
명목으로,3
억원을,1
받아갔다고,1
이달,1
일까지,1
생활비,6
억원을,1
입금해라,1
오늘까지,1
지급하지,1
부득이한,1
조처를,1
하겠다는,1
문자를,2
보냈다고,1
내연녀를,1
경남경찰서에,1
낳고,2
호적이,1
재산을,8
나눠가질,4
지위라고,4
등재됐기,1
법정상속분,1
비율에,1
배우자와,1
명의,1
자녀는,1
대,1
대,3
의,1
상속을,5
매체,1
포브스가,2
조억원로,1
추정되고,1
조원을,5
원하지,1
않더라도,1
유류분으로,1
소송으로,4
다툴,1
사옥,2
제공서,1
를,1
주인이다,1
,2
를,2
주식가치로,1
회장에,7
주식부호,1
엄마와,1
의장에게,2
상속될,1
예정이었다,2
내연녀의,1
등장하면서,1
법정상속분이,1
에서,1
로,1
줄어들게,1
배제할,3
없게,2
서정진,1
카리스마로,2
잠재우니,2
터진,1
내홍,1
리더십으로,3
제의,1
도약을,1
급락으로,1
가득했던,1
투자자들은,4
리더십에,1
표출했다,2
반영되면,1
만원대까지,2
떨어졌던,2
만원대까지,1
치고,1
잡음을,1
내부에서,2
차남,18
실종,1
사고가,1
일어났다,3
실종됐다는,7
접수됐다가,2
시간여,7
발견됐다는,1
복귀가,13
차남의,1
실종,19
것이다이와,1
술을,1
마신,6
모양이다,1
다음부터,4
술을,8
말라고,5
웃어,1
넘겼다,1
그렇지만,2
자식에게,1
해프닝은,1
짐작하고,1
손주의,1
입을,1
아들과의,1
관계에,6
에피소드를,1
하루는,1
손주가,1
왜,1
아빠가,2
할아버지를,1
무서워하는,1
거예요라며,1
물어본,1
적이,5
할아버지가,1
부르면,1
깜짝,1
놀란다는,1
이야기를,4
털어놓았다,1
엄격함은,1
비단,1
자식뿐,1
직원들에게도,1
적용하면서,1
고압적인,1
복장,1
규제에,1
관여했다는,1
커뮤니티,8
블라인드의,1
작성자는,2
삐용삐용,1
진돗개,1
호,1
발령이라는,1
규제에,2
불만을,11
토로했다,2
규제와,1
블라인드에,3
게시글,1
블라인드,2
캡처로고,1
티,2
라운드,3
화려한,1
청바지,2
내용이었다,1
세대들의,1
전하며,1
정작,1
회장본인은,1
언더아머,2
티를,2
입는다고,1
직장인의,5
소양,10
지키기,11
캠페인이라는,3
공지의,1
공지글의,1
단정한,2
준수,3
항목에는,1
직장인으로서,1
직장과,2
마음가짐을,4
다짐해,1
주시길,2
바란다는,1
담겼다셀트리온,1
기간에는,2
차림을,2
허용했지만,1
이제,7
마무리가,3
원상태로,1
돌아가자는,1
의미의,1
조치라고,1
김두용,1
,1
개월,1
잘날,1
셀트리온엄격한,1
분쟁까지회장님의,1
사생활이라기엔지배구조,1
비화,1
조짐서,1
행보,1
제동,1
우려사,1
산적이데일리,1
오너리스크가,4
불거지고,1
지침을,12
내려,4
얼마,1
분쟁이,1
오너리스크까지,1
회장사진셀트리온서,1
돌파할,1
소방수,11
자처하면서,1
끌어올리기,5
정기주주총회에서,18
주총,3
이후부터는,2
총수로서,11
경영진에게,5
주도록,3
말했다그러나,1
복귀하고,1
날이,1
없어졌다는,1
평판이다,1
지침으로,1
빚더니,1
이번엔,1
일었기,1
때문이다셀트리온은,1
공지,9
메일을,3
발송했다,2
메일에는,2
카라티,2
계열의,4
착용,7
게재됐다,1
꼰대,1
논란으로,1
사측이,2
복장뿐,1
시간까지,1
통제하는,1
비판,7
빗발친,1
것이다복장,1
단속,1
개월도,1
혼외자와,2
분쟁으로,1
세간의,2
것이다서,1
월에,3
인정됐다,1
수백억원의,2
지급했음에도,3
요구했다며,1
상태다문제는,1
도덕성,1
그치지,6
분제로,1
억달러약,2
조억원로,1
추정된다서,1
배우자,1
박경옥,1
,1
장남,12
씩,1
법적으로,7
인정되면서,2
법적상속분으로,1
씩,1
약,1
조억원,1
가져갈,1
박씨와,1
아들들의,1
몫은,2
,1
로,2
줄었다,4
상속에,1
거부할,1
있다두,1
서원디앤디,1
서린홀딩스도,1
셀트리온그룹계열사로,1
실내인테리어업체이며,1
서린디앤디는,1
작업복,1
업체다셀트리온그룹,1
회장님의,1
사생활로,1
치부하는,1
분위기지만,1
안팎에서,2
눈은,1
대표이사인,2
편입한,2
혼외자녀,1
입적으로,1
상속승계,1
공적인,1
것이다오너리스크로,1
제동이,2
걸릴,5
우려도,1
합병과,12
직접판매체제,1
본격화,1
진두지휘할,8
예정이었다그럼에도,1
개인사와,1
경영의,2
분리해서,1
보자는,1
우세하다,1
본연의,2
분석에서다한,1
서,18
능력과,1
개인사는,1
별개,1
문제이긴,1
하다며,1
당장은,1
과제가,2
산적한,13
회장님의,1
사생활,1
브레이크를,1
밟을,1
있겠지만,2
그것만으로,1
훼손될,1
보이진,1
않는다고,1
언급했다서정진,1
명예회장년,1
충청북도,1
출생년,1
건국대학교,1
산업대학원,1
산업공학,1
석사년,1
한국생산성본부,2
전문위원년,1
대우자동차,4
상임고문년,1
회장년년,1
명예회장년,1
월현재,1
일선,11
논란불확실성의,1
시대입니다,1
생존은,1
선택과,2
집중에,1
달렸다고,1
과언은,1
의사결정권자인,1
최고경영자의,1
희비와,1
직결되는,1
이유입니다,1
의,1
죽이는,1
독이,1
주간,10
들의,1
선택을,2
들여다보고,1
집중된,1
를,2
소개합니다,1
토요일,1
연재합니다,1
편집자주,1
이창훈,1
만원으로,1
시작해,2
수십조원에,1
성장시킨,1
경영인이,2
샐러리맨,1
신화라는,1
수식어도,1
경영인을,1
담기엔,1
부족하다는,1
정도죠,1
역사를,1
썼다는,1
말도,9
오너들을,1
부자에,1
했죠,2
복귀했는데,3
때아닌,1
인물,1
주인공입니다,1
제기했습니다,1
인정됐죠,1
올리겠다는,4
문자와,2
내용증명,1
전했는데,1
거절했다고,2
주장합니다,1
측이,8
수백억원을,1
고소했습니다,1
불거지자,1
주변에선,1
당혹스러운,1
분위기가,5
돌파하기,2
전해졌기,1
때문이죠,1
물러나면서,16
그룹을,27
환경에,27
급격한,28
역할로,20
현직에,8
돌아올,12
약속한,8
복귀에,13
가속화되는,3
기점이라며,1
오너서정진,1
회장,3
신속하고,11
경영진의,12
판단하에,1
주주와,8
이사회의,23
공동의장의,3
수행하게,3
설명합니다,1
사내이사로,24
선임된,3
주총에,5
위기이자,2
기회인,2
올해에,1
일시적으로,3
선장으로,3
강조했습니다,1
태풍이,3
불,1
경험,3
선장이,3
나서야,4
상황이,1
안정되면,5
돌아갈,5
주주총회,5
선언했죠,1
인수합병,10
예고하기도,1
주총장에서,4
하락과,3
사과하는,1
끌기도,1
오너의,5
개인사가,1
걸어온,2
길을,1
그의,7
능력을,4
의심하는,1
사람도,1
않겠죠,1
개인사를,1
그만,1
언급하라는,1
정도입니다,1
창업자이자,1
만들기,3
복귀했다는,3
고려하면,1
논란은,2
아쉽다는,1
많습니다,1
과거에,2
기내,1
갑질,1
제기되는,1
경영인으로서가,1
자연인으로서,1
적잖은,1
비판을,2
인물입니다,1
잠재울,1
있을까요,2
서린홀딩스서원디앤디,2
평,1
남짓,1
소재서원디앤디,1
일,1
확인됐다일,1
회사다지난,1
있다서원디앤디는,1
호수는,1
주거용으로도,1
사용되고,7
있다해당,1
어디에서도,1
서원디앤디를,2
드러내는,1
